id_sala,horario,temperatura
1,1698807600,25.01
1,1698811200,25.69
1,1698814800,25.48
1,1698818400,25.65
1,1698822000,25.11
1,1698825600,25.16
1,1698829200,25.83
1,1698832800,25.25
1,1698836400,25.82
1,1698840000,25.66
1,1698843600,25.82
1,1698847200,25.57
1,1698850800,25.46
1,1698854400,25.05
1,1698858000,25.73
1,1698861600,34.53
1,1698865200,25.76
1,1698868800,25.62
1,1698872400,25.32
1,1698876000,25.89
1,1698879600,25.12
1,1698883200,25.98
1,1698886800,25.47
1,1698890400,25.17
1,1698894000,25.09
1,1698897600,25.75
1,1698901200,25.32
1,1698904800,25.47
1,1698908400,25.25
1,1698912000,25.49
1,1698915600,25.28
1,1698919200,25.3
1,1698922800,25.68
1,1698926400,25.09
1,1698930000,25.21
1,1698933600,25.77
1,1698937200,25.98
1,1698940800,25.66
1,1698944400,25.81
1,1698948000,25.72
1,1698951600,25.45
1,1698955200,25.78
1,1698958800,25.22
1,1698962400,25.57
1,1698966000,25.59
1,1698969600,25.16
1,1698973200,25.07
1,1698976800,25.36
1,1698980400,25.89
1,1698984000,25.68
1,1698987600,25.62
1,1698991200,25.09
1,1698994800,25.37
1,1698998400,25.72
1,1699002000,25.57
1,1699005600,25.22
1,1699009200,25.68
1,1699012800,25.81
1,1699016400,25.73
1,1699020000,25.49
1,1699023600,25.79
1,1699027200,25.68
1,1699030800,25.33
1,1699034400,25.55
1,1699038000,25.94
1,1699041600,25.11
1,1699045200,25.1
1,1699048800,25.4
1,1699052400,25.93
1,1699056000,25.3
1,1699059600,25.74
1,1699063200,25.74
1,1699066800,25.89
1,1699070400,25.01
1,1699074000,25.6
1,1699077600,25.42
1,1699081200,25.19
1,1699084800,25.08
1,1699088400,25.15
1,1699092000,25.94
1,1699095600,25.43
1,1699099200,25.93
1,1699102800,25.71
1,1699106400,25.75
1,1699110000,25.07
1,1699113600,25.14
1,1699117200,25.84
1,1699120800,25.29
1,1699124400,25.16
1,1699128000,25.06
1,1699131600,25.91
1,1699135200,25.59
1,1699138800,25.74
1,1699142400,25.86
1,1699146000,25.51
1,1699149600,25.93
1,1699153200,25.17
1,1699156800,25.3
1,1699160400,25.33
1,1699164000,25.08
1,1699167600,25.02
1,1699171200,25.91
1,1699174800,25.94
1,1699178400,25.35
1,1699182000,25.08
1,1699185600,25.29
1,1699189200,25.39
1,1699192800,25.93
1,1699196400,25.65
1,1699200000,25.49
1,1699203600,25.05
1,1699207200,25.33
1,1699210800,25.75
1,1699214400,25.81
1,1699218000,25.47
1,1699221600,25.09
1,1699225200,25.23
1,1699228800,25.89
1,1699232400,25.7
1,1699236000,25.49
1,1699239600,25.83
1,1699243200,25.62
1,1699246800,25.79
1,1699250400,25.1
1,1699254000,25.31
1,1699257600,25.32
1,1699261200,25.17
1,1699264800,25.05
1,1699268400,25.52
1,1699272000,25.6
1,1699275600,25.05
1,1699279200,25.17
1,1699282800,25.45
1,1699286400,25.68
1,1699290000,25.44
1,1699293600,25.41
1,1699297200,25.0
1,1699300800,25.17
1,1699304400,25.3
1,1699308000,25.77
1,1699311600,25.71
1,1699315200,25.27
1,1699318800,25.07
1,1699322400,25.1
1,1699326000,25.88
1,1699329600,25.86
1,1699333200,25.01
1,1699336800,25.39
1,1699340400,25.55
1,1699344000,25.25
1,1699347600,25.55
1,1699351200,25.12
1,1699354800,25.97
1,1699358400,25.79
1,1699362000,25.49
1,1699365600,25.53
1,1699369200,25.23
1,1699372800,25.36
1,1699376400,25.25
1,1699380000,25.96
1,1699383600,25.57
1,1699387200,25.85
1,1699390800,25.31
1,1699394400,25.29
1,1699398000,25.75
1,1699401600,25.75
1,1699405200,25.39
1,1699408800,25.92
1,1699412400,25.67
1,1699416000,25.47
1,1699419600,25.42
1,1699423200,25.95
1,1699426800,25.64
1,1699430400,25.19
1,1699434000,25.43
1,1699437600,25.13
1,1699441200,25.07
1,1699444800,25.34
1,1699448400,25.47
1,1699452000,25.93
1,1699455600,25.45
1,1699459200,25.46
1,1699462800,25.98
1,1699466400,25.49
1,1699470000,25.32
1,1699473600,25.84
1,1699477200,25.59
1,1699480800,25.77
1,1699484400,25.3
1,1699488000,25.69
1,1699491600,25.9
1,1699495200,25.15
1,1699498800,25.93
1,1699502400,25.5
1,1699506000,25.47
1,1699509600,25.21
1,1699513200,25.04
1,1699516800,25.02
1,1699520400,25.46
1,1699524000,25.99
1,1699527600,25.71
1,1699531200,25.38
1,1699534800,25.38
1,1699538400,25.96
1,1699542000,25.35
1,1699545600,25.87
1,1699549200,25.89
1,1699552800,25.23
1,1699556400,25.11
1,1699560000,25.23
1,1699563600,25.63
1,1699567200,25.28
1,1699570800,25.79
1,1699574400,25.88
1,1699578000,25.5
1,1699581600,25.98
1,1699585200,25.75
1,1699588800,25.96
1,1699592400,25.22
1,1699596000,25.84
1,1699599600,25.96
1,1699603200,25.41
1,1699606800,25.85
1,1699610400,25.59
1,1699614000,25.02
1,1699617600,26.0
1,1699621200,25.71
1,1699624800,25.34
1,1699628400,25.53
1,1699632000,25.14
1,1699635600,25.99
1,1699639200,25.43
1,1699642800,25.0
1,1699646400,25.93
1,1699650000,25.78
1,1699653600,25.24
1,1699657200,25.78
1,1699660800,25.06
